time,p,v,a,tau,force
0,0,-0.05440752,-0.00094959,66.43275425,1.159470293
0.00833333,0,0.01417949,0.000247479,66.55609488,1.161622993
0.01666667,0,0.088157,0.00153863,66.86699644,1.167049249
0.025,0,0.17357577,0.003029469,67.26381436,1.173975028
0.03333333,0,0.27576038,0.004812927,67.52222657,1.178485172
0.04166667,0,0.39945264,0.006971764,67.9017964,1.185109915
0.05,0,0.54869991,0.00957662,68.23531792,1.190930964
0.05833333,0,0.72677247,0.012684573,68.51630166,1.195835055
0.06666667,0,0.93612489,0.016338462,68.93281519,1.203104588
0.075,0,1.17840384,0.020567027,69.25709426,1.208764325
0.08333333,0,1.45449954,0.025385806,69.7584103,1.217513941
0.09166667,0,1.76463436,0.03079868,70.08573294,1.223226798
0.1,0,2.10847927,0.036799905,70.56544974,1.231599436
0.10833333,0,2.4852874,0.043376448,70.95373675,1.238376323
0.11666667,0,2.8940335,0.050510413,71.4085947,1.246315092
0.125,0,3.33354847,0.058181397,71.82134569,1.253518955
0.13333333,0,3.80263942,0.066368578,72.40251705,1.263662309
0.14166667,0,4.30018788,0.075052437,72.84521937,1.271388922
0.15,0,4.82522141,0.084216001,73.29207167,1.279187966
0.15833333,0,5.37695629,0.093845591,73.84212196,1.288788155
0.16666667,0,5.95481213,0.103931078,74.31433231,1.29702978
0.175,0,6.55840109,0.114465693,74.85785216,1.306515991
0.18333333,0,7.18749683,0.125445485,75.38415372,1.315701686
0.19166667,0,7.84198911,0.13686853,75.94871402,1.325555122
0.2,0,8.52183068,0.148734004,76.53231427,1.335740868
0.20833333,0,9.22680499,0.161038127,77.00705037,1.344026576
0.21666667,0,9.95712408,0.173784599,77.63062298,1.354909971
0.225,0,10.71250561,0.186968494,78.23962599,1.365539079
0.23333333,0,11.49266577,0.200584858,78.77045378,1.374803772
0.24166667,0,12.29720264,0.214626675,79.3522808,1.384958569
0.25,0,13.12558584,0.229084689,79.97616261,1.395847361
0.25833333,0,13.97716626,0.243947571,80.69439486,1.408382878
0.26666667,0,14.85119468,0.259202245,81.20198429,1.417241985
0.275,0,15.7468464,0.274834316,81.91497877,1.429686086
0.28333333,0,16.66324846,0.29082855,82.48607695,1.43965363
0.29166667,0,17.59950631,0.307169332,83.06566134,1.449769286
0.3,0,18.55472747,0.323841086,83.78375202,1.462302332
0.30833333,0,19.52804021,0.340828598,84.51187491,1.475010474
0.31666667,0,20.51860647,0.358117241,85.22245169,1.487412379
0.325,0,21.52207195,0.375631017,85.89604378,1.499168778
0.33333333,0,22.54440307,0.393474061,86.60226941,1.511494741
0.34166667,0,23.58174648,0.411579119,87.20551684,1.522023395
0.35,0,24.63344306,0.429934687,87.95870721,1.535169047
0.35833333,0,25.69885458,0.448529626,88.47555771,1.54418979
0.36666667,0,26.77735633,0.467353033,89.21060592,1.557018801
0.375,0,27.86832623,0.48639405,90.148485,1.573387879
0.38333333,0,28.97113454,0.505641686,90.86695194,1.585927493
0.39166667,0,30.08513509,0.525084663,91.58936024,1.598535896
0.4,0,31.20965795,0.54471129,92.11647391,1.607735765
0.40833333,0,32.34819524,0.564582514,93.16343695,1.626008717
0.41666667,0,33.49117787,0.584531324,93.92329186,1.639270687
0.425,0,34.64241319,0.604624171,94.60601836,1.651186513
0.43333333,0,35.80113533,0.624847687,95.41468203,1.665300356
0.44166667,0,36.96654805,0.645187977,96.07668102,1.676854418
0.45,0,38.13783197,0.665630737,97.13177264,1.695269241
0.45833333,0,39.31414404,0.686161256,97.87014008,1.708156184
0.46666667,0,40.49461673,0.706764391,98.6987713,1.722618527
0.475,0,41.67835672,0.727424552,99.59168613,1.738202831
0.48333333,0,42.86586863,0.748150544,100.4031661,1.752365828
0.49166667,0,44.05247968,0.768860814,100.8516464,1.760193285
0.5,0,45.24176825,0.789617815,101.7637986,1.776113345
0.50833333,0,46.42911029,0.810340843,102.918117,1.796260002
0.51666667,0,47.6140725,0.831022335,103.6674815,1.80933888
0.525,0,48.79835999,0.851692051,104.6053979,1.825708608
0.53333333,0,49.97933728,0.872303994,105.4328743,1.840150796
0.54166667,0,51.15600652,0.892840746,106.3374865,1.855939258
0.55,0,52.32746631,0.913286576,107.096574,1.869187834
0.55833333,0,53.49290785,0.933627368,108.0728981,1.886227904
0.56666667,0,54.65157998,0.953850012,109.0515244,1.903308155
0.575,0,55.80276096,0.97394191,109.6877295,1.914412028
0.58333333,0,56.94574291,0.993890709,110.2193955,1.92369135
0.59166667,0,58.07982547,1.013684183,111.719853,1.949879274
0.6,0,59.20431944,1.033310306,111.9871575,1.954544618
0.60833333,0,60.3185521,1.052757334,113.560288,1.982000924
0.61666667,0,61.42186798,1.072013829,114.4277218,1.997140501
0.625,0,62.51362855,1.091068646,115.0681588,2.008318235
0.63333333,0,63.5932109,1.109910912,116.2639844,2.02918933
0.64166667,0,64.66132688,1.128553053,117.0985687,2.043755573
0.65,0,65.71428274,1.146930599,117.4901563,2.050590066
0.65833333,0,66.75336239,1.16506596,118.8945758,2.075101811
0.66666667,0,67.77793606,1.182948144,119.8564607,2.091889869
0.675,0,68.78735815,1.200565883,120.4984027,2.103093871
0.68333333,0,69.78095927,1.217907494,121.6375592,2.122975903
